hostname,layer,region,cloud_zone,fog_location,cpu_cores,single_core_score,base_single_core_score,memory_GiB,ingress_bandwidth_Mbps,egress_bandwidth_Mbps,uptime_30d_percentage,cost
0,cloud,region-0,region-0-a,,16,1588,1000,64,,,100.0,3487.4230546421413
1,cloud,region-0,region-0-a,,16,1373,1000,64,,,97.87835612652871,2189.486859051409
2,cloud,region-0,region-0-a,,32,1714,1000,64,10771.988437979497,41580.66473341672,98.19835447043128,5928.790071790303
3,cloud,region-0,region-0-b,,8,1526,1000,16,1927.1847642185587,1415.93133387784,98.85607673556332,1253.931574286903
4,cloud,region-0,region-0-a,,8,1170,1000,32,,,97.68944888418515,1640.828035232022
5,cloud,region-0,region-0-a,,8,1438,1000,16,,,100.0,1113.7543988301186
6,cloud,region-0,region-0-b,,8,1506,1000,16,,,98.0,880.0163457391727
7,cloud,region-0,region-0-a,,16,1104,1000,64,,,100.0,3623.617546111263
8,cloud,region-0,region-0-a,,8,1653,1000,16,,,96.3939578499234,1396.6476440393849
9,cloud,region-0,region-0-c,,32,1337,1000,64,,,95.90426397339282,5878.320955057071
10,cloud,region-0,region-0-b,,32,1794,1000,128,,,95.75908245381557,7216.138002679733
11,cloud,region-0,region-0-a,,16,1132,1000,32,,,98.0,3461.3245608384063
12,cloud,region-0,region-0-b,,16,1172,1000,64,23034.14049018649,13801.729101831554,99.5271979221169,4620.2344564139985
13,cloud,region-0,region-0-a,,16,1163,1000,64,19797.889037314373,15775.442710991672,98.59490671030628,3351.198531597922
14,cloud,region-0,region-0-a,,4,1092,1000,16,,,100.0,446.2881264702363
15,cloud,region-0,region-0-c,,4,1305,1000,16,,,97.11354153343429,900.9160880975104
16,cloud,region-0,region-0-a,,16,1148,1000,64,,,99.07051132077903,4091.702166799663
17,cloud,region-0,region-0-c,,16,1393,1000,64,,,97.04279602278108,3075.4397801182013
18,cloud,region-0,region-0-a,,4,926,1000,16,,,99.8846398912218,856.7507750004595
19,cloud,region-0,region-0-a,,8,1496,1000,32,,,97.50815518462608,842.8075734750403
20,cloud,region-0,region-0-a,,32,1623,1000,128,,,98.31206770491814,6175.450444006161
21,cloud,region-0,region-0-c,,16,1512,1000,64,,,95.47992967122627,2288.609699210187
22,cloud,region-0,region-0-c,,8,1383,1000,16,,,98.88465854071454,2214.668723391746
23,cloud,region-0,region-0-a,,8,946,1000,16,,,99.72533424469468,1592.0075775898897
24,cloud,region-0,region-0-b,,8,999,1000,32,,,99.84784638262876,2390.27313247196
25,cloud,region-0,region-0-c,,4,1030,1000,16,,,97.72734575531037,843.9963263711168
26,cloud,region-0,region-0-a,,32,1325,1000,128,34749.015480206144,,99.79540418765426,7321.103672320148
27,cloud,region-0,region-0-b,,32,1046,1000,128,,,97.7012621266651,7457.083567538507
28,cloud,region-0,region-0-b,,16,1226,1000,64,,,97.2564222793764,4085.478841869007
