hostname,layer,region,cloud_zone,fog_location,cpu_cores,single_core_score,base_single_core_score,memory_GiB,ingress_bandwidth_Mbps,egress_bandwidth_Mbps,uptime_30d_percentage,cost
0,cloud,region-0,region-0-c,,32,1602,1000,128,,,99.823125495156,3755.169460792696
1,cloud,region-0,region-0-c,,8,1081,1000,32,,,96.60895092045833,2038.4910367076975
2,cloud,region-0,region-0-a,,16,1239,1000,32,17174.898630965683,16117.760250239537,99.22740368928272,4218.191429181408
3,cloud,region-0,region-0-c,,4,1454,1000,16,,,95.82493085971213,426.41609171900984
4,cloud,region-0,region-0-a,,32,967,1000,128,,,96.89397802883278,3730.7211545016353
5,cloud,region-0,region-0-c,,8,1322,1000,32,,,100.0,1232.4148035064693
6,cloud,region-0,region-0-c,,8,1158,1000,16,,,97.82901673339587,1605.1155289408655
7,cloud,region-0,region-0-c,,32,1262,1000,64,,,100.0,3813.0955912278714
8,cloud,region-0,region-0-a,,32,1093,1000,128,,,95.388605277038,5771.303998157713
9,cloud,region-0,region-0-a,,32,1628,1000,128,,,99.9360737987858,3845.892231606381
10,cloud,region-0,region-0-c,,8,1603,1000,16,,,99.92061609907884,1061.3306596990378
11,cloud,region-0,region-0-c,,16,1512,1000,32,,,100.0,2584.373184534119
12,cloud,region-0,region-0-b,,8,1231,1000,32,,,99.73947456046294,1196.129104290553
13,cloud,region-0,region-0-a,,4,1033,1000,16,5344.1993311052875,4674.067176241586,97.52033929751704,561.1462381003738
14,cloud,region-0,region-0-a,,4,1271,1000,16,4382.561223155244,3315.123525745248,97.52467431099716,607.5885074052685
15,cloud,region-0,region-0-b,,16,1767,1000,32,,,99.218946443863,1683.8739617439685
16,cloud,region-0,region-0-a,,32,1109,1000,128,,,100.0,8516.14357176951
17,cloud,region-0,region-0-a,,8,1276,1000,32,,,98.87001398594856,1278.4153517322598
18,cloud,region-0,region-0-b,,32,1577,1000,128,,,100.0,6170.317497483038
19,cloud,region-0,region-0-c,,8,1021,1000,32,,,98.47118612055284,1464.6268766882974
20,cloud,region-0,region-0-c,,8,999,1000,16,,,98.26554418954656,1262.14059045906
21,cloud,region-0,region-0-a,,32,1275,1000,128,,,95.09716539464516,7576.363397663206
22,cloud,region-0,region-0-a,,32,1757,1000,64,,,97.14663750315792,3222.6390185196415
23,cloud,region-0,region-0-b,,8,1559,1000,16,,,99.49286519222564,1147.308104005748
24,cloud,region-0,region-0-a,,16,963,1000,64,,,98.0,3979.843579841176
25,cloud,region-0,region-0-a,,32,1687,1000,128,,,96.45061574685649,6978.551678927346
26,cloud,region-0,region-0-a,,16,1115,1000,32,,,98.0,2421.523472382296
27,cloud,region-0,region-0-a,,4,1444,1000,16,,,100.0,593.306009496199
28,cloud,region-0,region-0-c,,32,1205,1000,128,,,99.72253532718292,8869.899223412216
29,cloud,region-0,region-0-c,,8,1539,1000,16,,,99.54471790205724,932.1661537018618
30,cloud,region-0,region-0-a,,32,1448,1000,64,,,97.9151251655653,8539.635452565584
31,cloud,region-0,region-0-b,,8,1287,1000,32,,,97.158149313852,1169.1087538952702
32,cloud,region-1,region-1-b,,8,1477,1000,32,,,98.0,1149.986767418874
33,cloud,region-1,region-1-b,,8,1198,1000,32,,,99.70371978857426,2009.4115166954937
34,cloud,region-1,region-1-c,,8,1250,1000,32,,,95.90563442325794,1077.774924170064
