hostname,layer,region,cloud_zone,fog_location,cpu_cores,single_core_score,base_single_core_score,memory_GiB,ingress_bandwidth_Mbps,egress_bandwidth_Mbps,uptime_30d_percentage,cost
0,cloud,region-0,region-0-b,,4,1652,1000,16,,,100.0,1117.1528011093606
1,cloud,region-0,region-0-b,,32,1143,1000,64,,,96.45388129562522,9138.34894189825
2,cloud,region-0,region-0-c,,8,1641,1000,16,5680.653433696719,3642.824946134161,98.04777489496908,1783.9541998054935
3,cloud,region-0,region-0-c,,8,1020,1000,16,1614.735886537941,10073.986393940284,98.58468790061984,1694.2866933533285
4,cloud,region-0,region-0-b,,32,1205,1000,128,,,96.93374144056884,6468.360187357942
5,cloud,region-0,region-0-a,,16,1446,1000,32,,,99.08203095269464,1623.0465399145846
6,cloud,region-0,region-0-c,,16,1232,1000,64,,,97.46507279833592,4731.424438423355
7,cloud,region-0,region-0-b,,16,1295,1000,64,,,99.02703738568624,2315.308306561155
8,cloud,region-0,region-0-b,,4,1442,1000,16,,,96.81462140875564,1014.2132789008976
9,cloud,region-0,region-0-b,,8,1008,1000,16,,,96.12241862113127,1025.8450378333257
10,cloud,region-0,region-0-b,,16,1540,1000,32,,,95.70737750912554,2940.067508390841
11,cloud,region-0,region-0-a,,4,1242,1000,16,,,97.78797053574708,697.3082927480918
12,cloud,region-0,region-0-a,,4,1721,1000,16,2985.974717589213,3693.6967392054703,99.0507193276028,1181.1626410363606
13,cloud,region-0,region-0-c,,16,1390,1000,32,22190.65488172614,13020.715379785712,97.10992210301158,3999.855029445544
14,cloud,region-0,region-0-a,,16,1744,1000,32,,,100.0,2602.8128053543123
15,cloud,region-0,region-0-a,,32,1529,1000,64,,,97.49589570566155,4459.70418574317
16,cloud,region-0,region-0-b,,32,965,1000,128,,,100.0,6683.881364725457
17,cloud,region-0,region-0-a,,4,933,1000,16,,,97.86523014331895,685.4632376766991
18,cloud,region-0,region-0-a,,4,947,1000,16,,,99.87061952373998,919.7042641997664
19,cloud,region-0,region-0-b,,16,1210,1000,64,,,98.90907497587692,2269.539203988789
20,cloud,region-0,region-0-a,,8,1592,1000,32,,,98.0755031510831,2052.451968627607
21,cloud,region-0,region-0-b,,16,1604,1000,64,,,95.18050658294908,2194.355244261301
22,cloud,region-0,region-0-a,,4,1764,1000,16,,,99.29604583766194,777.9944106209437
23,cloud,region-0,region-0-c,,8,1710,1000,16,,,98.85109853447813,1951.2507110025165
24,cloud,region-0,region-0-c,,16,1150,1000,64,,,99.032202647929,4407.566616989007
25,cloud,region-0,region-0-a,,32,1378,1000,64,,,95.8837189079341,7100.636022715551
26,cloud,region-0,region-0-a,,8,1591,1000,32,8687.253870051536,5574.560686365677,98.52318390905629,1519.4785614530942
27,cloud,region-0,region-0-c,,32,1580,1000,128,,,99.63695272848042,6555.294325559349
28,cloud,region-0,region-0-a,,4,1458,1000,16,,,98.79776147980344,1099.893272436973
29,cloud,region-0,region-0-b,,32,924,1000,64,,,97.6438725993808,5676.469600912453
30,cloud,region-0,region-0-b,,8,1221,1000,32,,,99.38113299285618,1298.4267170587625
31,cloud,region-0,region-0-c,,32,1403,1000,128,,,97.36078336480018,8686.58157421949
32,cloud,region-0,region-0-c,,32,1047,1000,128,,,98.0,3855.141814289837
33,cloud,region-0,region-0-b,,32,1614,1000,128,,,98.2143105954052,8125.8943302129455
34,cloud,region-0,region-0-c,,8,1228,1000,16,,,97.3046661614952,1506.6782136180968
35,cloud,region-0,region-0-a,,8,1139,1000,32,,,95.0153895060612,859.0903501468129
36,cloud,region-0,region-0-b,,32,968,1000,128,,,98.0,6836.413017749455
37,cloud,region-0,region-0-b,,32,931,1000,128,,,97.47529795063892,7020.382823636763
38,cloud,region-0,region-0-c,,16,913,1000,32,,,97.98170253109356,4600.786743880586
39,cloud,region-0,region-0-c,,8,1646,1000,16,,,95.67293695929315,1228.7651530722064
40,cloud,region-0,region-0-a,,16,993,1000,64,,,98.15681251776545,2328.3017581511085
41,cloud,region-0,region-0-b,,4,1658,1000,16,,,97.96927456303304,439.470132065497
42,cloud,region-1,region-1-a,,16,1044,1000,64,,,96.02016265242314,3858.845045986865
43,cloud,region-1,region-1-b,,8,1119,1000,32,,,95.4182047773401,1073.0987583777046
44,cloud,region-1,region-1-c,,4,946,1000,16,2165.1739272979607,,100.0,728.1084599612353
45,cloud,region-1,region-1-b,,32,1567,1000,128,,,95.75368280050972,8425.650239113857
46,cloud,region-1,region-1-b,,16,1239,1000,64,,,97.50884073604362,1870.3563306181131
47,cloud,region-1,region-1-b,,8,1225,1000,16,,,99.88766327188505,1853.2841789521633
48,cloud,region-1,region-1-b,,16,1061,1000,64,,,98.26574989909736,3414.575923411297
49,cloud,region-1,region-1-b,,4,903,1000,16,,,96.07452903251816,982.5925075113656
50,cloud,region-1,region-1-c,,32,1341,1000,128,,,98.03657334829352,6548.154193144082
51,cloud,region-1,region-1-c,,16,1097,1000,64,,,98.53332155375914,2947.6285358834275
52,cloud,region-1,region-1-c,,4,1241,1000,16,,,97.39151941941635,1021.8760924318764
53,cloud,region-1,region-1-b,,8,961,1000,16,,,97.62172942857735,2036.7411858481933
54,cloud,region-1,region-1-b,,8,1792,1000,32,10582.985544540661,2884.8394423090194,92.3269568795299,2032.432643750637
55,cloud,region-1,region-1-b,,8,1460,1000,32,9776.173465413203,1208.2526970528877,97.96079531438852,1612.2658046298448
56,cloud,region-1,region-1-c,,16,1216,1000,32,,,98.0,2516.5340910019113
57,cloud,region-1,region-1-c,,16,940,1000,64,,,99.73473332255004,2896.1609246803846
58,cloud,region-1,region-1-b,,16,1209,1000,32,,,100.0,1809.047287469678
59,cloud,region-1,region-1-b,,8,1763,1000,32,,,96.20990566110866,1396.8173036425642
60,cloud,region-1,region-1-c,,32,1334,1000,128,,,97.44950382649112,9292.122038812166
61,cloud,region-1,region-1-b,,32,1090,1000,64,,,96.18595760723768,3384.3256319829356
62,cloud,region-1,region-1-c,,8,1467,1000,32,,,99.89629315333929,1412.6101274465832
63,cloud,region-1,region-1-c,,16,1111,1000,32,,,98.81605424853308,2410.648139245742
64,cloud,region-1,region-1-b,,8,1246,1000,16,,,95.92007485500191,2159.471216609133
65,cloud,region-1,region-1-c,,8,1753,1000,16,,,95.83161115829058,1678.5738047955847
66,cloud,region-1,region-1-b,,32,1270,1000,128,,,97.53500709993068,5006.645684095271
67,cloud,region-1,region-1-c,,8,1698,1000,32,,,95.88675204717016,1965.9870253469544
68,cloud,region-1,region-1-b,,8,1752,1000,32,,,98.0,878.0201748961026
69,cloud,region-1,region-1-c,,4,1336,1000,16,,,99.73765059227674,1041.1160693506745
70,cloud,region-1,region-1-a,,16,1748,1000,64,,,95.67704572737176,1626.6299847932007
71,cloud,region-2,region-2-b,,32,1581,1000,64,,,99.99450219554808,7270.359781079407
72,cloud,region-2,region-2-c,,16,1004,1000,32,,,98.50522969274722,1758.579888573588
73,cloud,region-2,region-2-c,,4,1295,1000,16,,,98.37599226696751,1110.509600857543
74,cloud,region-2,region-2-a,,8,1750,1000,16,,,98.0,895.6655223817459
75,cloud,region-2,region-2-b,,32,1163,1000,128,,,97.13452001380476,6073.775994620272
76,cloud,region-2,region-2-a,,32,1480,1000,128,,,95.4246920778558,3492.4686106562604
77,cloud,region-2,region-2-a,,16,1239,1000,32,,,94.96633734372884,1858.5448456670615
78,cloud,region-2,region-2-b,,8,1144,1000,16,,,97.89298034435548,2327.1050316760093
79,cloud,region-2,region-2-b,,32,1305,1000,128,,,99.34124601906365,4763.671553904066
80,cloud,region-2,region-2-b,,32,1319,1000,64,,,97.51845956749652,6403.881289630558
81,cloud,region-2,region-2-b,,4,1208,1000,16,,,100.0,1068.7813230653053
82,cloud,region-2,region-2-c,,4,1115,1000,16,,,99.56368147358376,499.85816728540755
83,cloud,region-2,region-2-a,,16,1458,1000,64,1091.337407757635,1073.6873913625072,100.0,4224.321522813891
84,cloud,region-2,region-2-b,,8,1149,1000,16,,,98.93413909049158,927.2909802822852
85,cloud,region-2,region-2-a,,32,1040,1000,64,,,97.61459997758632,4173.306509814789
86,cloud,region-2,region-2-a,,8,1178,1000,16,,,97.7500382436386,2116.778851661152
87,cloud,region-2,region-2-c,,32,1624,1000,64,,,94.04283556143042,6699.853133565421
