hostname,layer,region,cloud_zone,fog_location,cpu_cores,single_core_score,base_single_core_score,memory_GiB,ingress_bandwidth_Mbps,egress_bandwidth_Mbps,uptime_30d_percentage,cost
0,cloud,region-0,region-0-a,,8,1550,1000,32,,,98.0,1760.3388050084548
1,cloud,region-0,region-0-b,,4,1140,1000,16,,,95.24996578822612,709.6500568512522
2,cloud,region-0,region-0-a,,32,1005,1000,128,,,100.0,8026.995582846854
3,cloud,region-0,region-0-a,,8,1375,1000,16,,,96.39310106962176,2042.352348317092
4,cloud,region-0,region-0-c,,8,1468,1000,16,,,95.91217031003056,882.8770211591291
5,cloud,region-0,region-0-b,,32,1293,1000,64,,,100.0,5346.094249503452
6,cloud,region-0,region-0-a,,4,1073,1000,16,,,98.0,588.0035610109435
7,cloud,region-0,region-0-c,,8,1536,1000,16,,,100.0,1537.4240632342894
8,cloud,region-0,region-0-a,,8,1136,1000,16,,,97.00738005549184,1759.5130080024264
9,cloud,region-0,region-0-a,,16,1681,1000,64,,,98.9024084986625,3839.941423635277
10,cloud,region-0,region-0-a,,32,1226,1000,128,,,99.53221321468712,8802.437828328842
11,cloud,region-0,region-0-c,,16,1265,1000,32,,,95.98399881507844,1809.6863088855837
12,cloud,region-0,region-0-b,,32,1595,1000,128,,,100.0,9244.849540107643
13,cloud,region-0,region-0-b,,8,927,1000,32,10159.345704557889,9673.63768622258,99.9872676471545,1613.786740767196
14,cloud,region-0,region-0-c,,16,984,1000,32,,,95.52843070535724,3584.5731632020243
15,cloud,region-0,region-0-a,,16,996,1000,64,,,100.0,4095.245696491188
16,cloud,region-0,region-0-c,,16,952,1000,64,,,98.0,4322.741435320839
17,cloud,region-0,region-0-a,,16,1210,1000,32,,,99.19860765328436,3885.168132419928
18,cloud,region-0,region-0-b,,8,1694,1000,32,,,100.0,1107.0027732386543
19,cloud,region-0,region-0-b,,16,1205,1000,64,,,97.823228798082,1897.4719536114544
20,cloud,region-0,region-0-c,,4,1483,1000,16,,,98.99298679145946,686.2661262539534
21,cloud,region-0,region-0-c,,16,917,1000,64,,,96.91942409189836,1650.939585106919
22,cloud,region-0,region-0-c,,32,1225,1000,128,,,98.20459631708648,4788.889051892853
23,cloud,region-0,region-0-b,,16,1622,1000,64,,,99.8567396344539,1684.2856058510329
24,cloud,region-0,region-0-c,,32,1614,1000,128,,,98.0,7519.987464304445
25,cloud,region-0,region-0-c,,4,1489,1000,16,,,93.87161850954033,649.6681192150787
26,cloud,region-0,region-0-a,,32,1734,1000,64,,,100.0,9291.625286864086
27,cloud,region-0,region-0-b,,16,1768,1000,64,,,100.0,2811.8148401160634
28,cloud,region-0,region-0-c,,16,1092,1000,32,,,97.84262921479927,4553.218562948112
29,cloud,region-0,region-0-b,,32,1122,1000,64,,,99.73514168898252,5924.049542518302
30,cloud,region-0,region-0-c,,32,1010,1000,128,,,99.32150820818276,7708.36282973364
31,cloud,region-1,region-1-c,,8,1244,1000,32,,,99.30730883009052,1161.2256948683762
32,cloud,region-1,region-1-c,,4,1260,1000,16,,,95.34047031153558,922.7765813449907
33,cloud,region-1,region-1-b,,4,1657,1000,16,,,97.48232804333732,766.3954048210569
34,cloud,region-1,region-1-a,,32,1527,1000,64,,,96.44934029676756,3929.853668121396
35,cloud,region-1,region-1-a,,8,1400,1000,16,,,92.12861074869572,858.7912862717252
36,cloud,region-1,region-1-c,,8,968,1000,16,,,96.0,1594.3059998256183
37,cloud,region-1,region-1-a,,32,932,1000,128,,,95.89305518138394,8788.540834876618
38,cloud,region-1,region-1-b,,8,1722,1000,16,,,96.3495087988124,1762.121982759662
39,cloud,region-1,region-1-b,,16,1252,1000,32,,,97.5199103519111,2865.4456227766364
40,cloud,region-1,region-1-c,,16,1472,1000,64,,,100.0,3615.38434717326
41,cloud,region-1,region-1-a,,32,903,1000,128,,,100.0,6337.593665333829
42,cloud,region-1,region-1-c,,32,1449,1000,128,,,97.5062893900718,3646.764429214965
43,cloud,region-1,region-1-b,,8,1629,1000,32,,,96.6860049258922,2296.3719455138707
44,cloud,region-1,region-1-a,,16,1344,1000,32,,,98.0,2413.8676652457234
45,cloud,region-1,region-1-c,,16,970,1000,64,,,94.0,4252.22661289164
46,cloud,region-1,region-1-b,,4,1347,1000,16,,,100.0,1035.6152283522506
47,cloud,region-1,region-1-c,,4,1581,1000,16,,,100.0,490.7711899412493
48,cloud,region-1,region-1-a,,4,1200,1000,16,,,97.13996565714903,634.8864509884879
49,cloud,region-1,region-1-a,,8,1464,1000,32,,,100.0,2304.0923499466376
50,cloud,region-1,region-1-c,,8,961,1000,32,,,99.72718666105855,1524.0469472316497
51,cloud,region-1,region-1-c,,32,1425,1000,64,,,97.74104372230494,5960.877303267203
52,cloud,region-1,region-1-c,,32,1324,1000,128,,,97.8874607298737,9032.547260728265
53,cloud,region-1,region-1-b,,16,1707,1000,64,,,99.87345634226608,3184.183480064792
54,cloud,region-1,region-1-b,,32,1263,1000,128,10740.361967231014,36126.01475697932,91.03969529790662,6606.4710906782675
55,cloud,region-1,region-1-c,,32,1384,1000,64,38102.47290369008,37375.08353991371,100.0,6754.108741382096
56,cloud,region-1,region-1-b,,4,1226,1000,16,,,96.0,957.4437855776148
57,cloud,region-1,region-1-b,,8,1190,1000,16,,,100.0,2204.945192575856
